config,attack,watermark,conf,bit_acc,bits,pesq
TI_AW,aac_128,Timbre,,1.0,,3.205
TI_AW,aac_128,AWARE,,1.0,,3.205
TI_AW,opus_64,Timbre,,1.0,,3.193
TI_AW,opus_64,AWARE,,1.0,,3.193
TI_AW,resample_8k,Timbre,,1.0,,2.97
TI_AW,resample_8k,AWARE,,1.0,,2.97
TI_AW,lowpass_4k,Timbre,,1.0,,3.319
TI_AW,lowpass_4k,AWARE,,1.0,,3.319
TI_AW,highpass_500,Timbre,,1.0,,3.267
TI_AW,highpass_500,AWARE,,1.0,,3.267
TI_AW,quantize_8bit,Timbre,,1.0,,2.149
TI_AW,quantize_8bit,AWARE,,1.0,,2.149
TI_AW,echo,Timbre,,1.0,,2.071
TI_AW,echo,AWARE,,1.0,,2.071
TI_AW,sample_suppress,Timbre,,1.0,,3.142
TI_AW,sample_suppress,AWARE,,1.0,,3.142
TI_AW,noise_20db,Timbre,,1.0,,1.871
TI_AW,noise_20db,AWARE,,1.0,,1.871
TI_AW,noise_10db,Timbre,,0.9,,1.244
TI_AW,noise_10db,AWARE,,1.0,,1.244
TI_AW,noise_5db,Timbre,,0.8,,1.128
TI_AW,noise_5db,AWARE,,0.95,,1.128
TI_AW,tempo_up_10,Timbre,,1.0,,
TI_AW,tempo_up_10,AWARE,,1.0,,
TI_AW,tempo_down_10,Timbre,,1.0,,
TI_AW,tempo_down_10,AWARE,,1.0,,
TI_AW,denoise,Timbre,,1.0,,3.575
TI_AW,denoise,AWARE,,1.0,,3.575
TI_AW,crop_30s,Timbre,,1.0,,
TI_AW,crop_30s,AWARE,,0.8,,
TI_AW,crop_10s,Timbre,,1.0,,
TI_AW,crop_10s,AWARE,,0.55,,
TI_AW,crop_5s,Timbre,,1.0,,
TI_AW,crop_5s,AWARE,,0.6,,
